,CMLSP,FCDE,FERDE,FWA-DM,GaAPADE,L-SHADE,MVMO,NRGA,OptBees,POBL_ADE,RSDE,SOO,SOO+BOBYQA,UMOEAS,b3e3pbest,rmalschcma
F1,1.76871165195686E-07,1150612.94111143,5234091.42430531,5013.0489672621,0,0,0.0004954047,27904.5013617886,784.1906129745,16226.5696398681,0,8810740,4569.72,0,2626511.6879519,0
F2,1.11457647058824E-15,16034575.5021883,138042857.426333,0.0001341896,0,0,7.09841784264114E-09,914.6605137471,0.009882615,2273.0552325532,0,6.343,0.036,0,224053205.940771,0
F3,0.0001055527,1234.9883133221,4545.6467299547,1.87734004009561E-09,0,0,9.85965824381373E-11,1516.8063187142,0.9213070022,0.0005744588,0,6643.67,5842.92,0,4305.3999033165,1.02548509803922E-07
F4,3.34372941176471E-15,41.9776326457,48.4558884923,1.4132347738,30.6882352941,29.4095534696,9.5456241843,15.435575447,2.6908171845,25.5082559294,2.8109704445,0.678,0,0,52.5332862745,0.0850079804
F5,16.863048009,20.3811447193,20.0914528908,20.0272395439,19.6767,14.1455983633,16.5805848674,19.606878119,19.9999742353,19.0870415686,19.2163114314,20,20,16.8309965764,20.2129862745,13.6519611765
F6,0.0620104547,5.3279975283,3.4732491808,0.7063044535,0.1483755759,0.0175400641,0.0034445483,2.4498260245,3.0166234,1.0394580371,0.052908326,0.002,0.002,0,2.7907750686,0.0001478613
F7,0,0.8226381996,2.1930349321,0.0947993946,0.0031634515,0.0030429237,0.0185835559,0.2030302432,0.1561593156,0.1626861398,0.0354962741,0.049,0.049,0,3.3068928078,0
F8,2.0706781043,14.227189654,9.7698603705,0.253616817,0,0,6.68746117647059E-15,5.5847341813,1.1591599372549E-13,7.8088834314,0.6608053702,18.904,18.904,0,13.2486134102,0
F9,1.6585014675,35.7932178674,18.745724127,6.0084833174,3.3790045098,2.344597678,3.4921110969,8.6936763156,20.8355695314,7.6307647294,8.5224057706,8.955,8.955,2.7254764996,21.0368678431,3.3165296216
F10,196.1156419608,488.591642579,151.518814072,1.5926918245,0.1517888627,0.0085721782,2.1369188595,119.4300157542,219.2256404627,153.4006447059,68.4415846039,130.39,130.39,0.3738596535,330.8470785997,7.677945791
F11,152.9957997843,976.2717984412,537.6226885887,372.2404276947,183.1153137255,32.055826349,96.276037451,575.9476154358,392.7479986275,208.2013235098,290.6418778824,349.05,349.05,144.0443373608,782.9861372549,20.1349725373
F12,0.0302652157,1.1285247035,0.6297756088,0.0424947119,0.1402201569,0.0681671385,0.0422278337,0.124164047,0.1303985837,0.2694543529,0.2206481733,0,0,0,0.8030774706,0.0164645704
F13,0.0272497333,0.3054388759,0.3352132702,0.1206137879,0.0600872941,0.0515619667,0.0355334978,0.1576864688,0.4161575699,0.1311728271,0.1276668044,0.03,0.03,0.0094357808,0.3124895882,0.0329233264
F14,0.1891654059,0.3380708458,1.0070538641,0.2139064063,0.0942395882,0.081361704,0.0890592019,0.2537019758,0.3686512677,0.2602720733,0.1359879326,0.13,0.13,0.1100343731,0.6884131745,0.1264898065
F15,0.8966286471,5.7665173802,19.1365657077,0.7748367297,0.6056511765,0.3660991591,0.434600981,1.0218383562,2.4388709176,0.7118415275,0.9830089722,0.44,0.42,0.6666982114,47.0112827255,0.4714943765
F16,1.5545893529,3.5059098434,2.9222039811,1.7570696989,1.9771980392,1.2407967834,1.448514948,2.7469369752,2.6395893725,1.4090926608,2.2333978059,2.52,2.52,1.530246409,2.8261445098,1.054166198
F17,312.7451352941,1765.6175331117,314731.736830444,254.5371206936,9.9143486275,0.9766637611,9.3566656753,16074.9090864638,684.3998861471,257.2398454902,47.7016775871,3122910,422.57,8.4768328388,101237.232163686,78.3384603588
F18,30.8529375882,309.4347177718,234239.598769088,25.1581341427,0.2229742353,0.2440927767,0.7825998958,7419.7540776198,33.5042971588,33.161518,1.9963673323,12932.1,3951.62,0.7840287237,225413.487599239,5.2207213331
F19,1.251119902,1.6141971936,2.0320648367,1.2991172546,0.2565644314,0.0773000324,0.1583402259,2.0933349952,0.9330415607,2.087875402,1.0302079294,0.55,0.55,0.1999710639,2.3744214902,0.0766073275
F20,19.9406550784,235.2391877503,407578.243993656,13.3705333441,0.4315543137,0.1848826079,0.3125558844,1719.1836825523,8.9575561624,12.5894761373,0.7214667728,9364.2,6925.1,0.3705879573,5688.9166334118,8.0566913325
F21,36.3907106667,1664.7695916103,83860.1706001506,94.6425341807,0.5085518039,0.4080689873,1.9347211907,4823.4271817397,57.0561504983,102.5059386412,1.2086418116,24694.9,1940.39,0.5404065603,5004.7232273255,49.2861720431
F22,89.5284179216,26.1066556878,43.7741533844,34.0874521933,3.2473980392,0.0441028809,0.2628860608,37.5665808196,17.0246813308,30.0227520706,11.6548980739,126.46,126.47,0.244754727,67.5666826506,8.4746254322
F23,201.8201764706,329.9485331694,332.5387216549,329.4574747137,329.46,329.4574747107,329.45747,329.457487167,272.3514978431,329.4575490196,329.45747,200,200,329.45747,333.9171764706,329.4575
F24,109.9102941176,145.5083218851,126.9948771753,127.3903081922,108.9050980392,107.489641746,109.225824902,130.7641476346,137.378044902,123.8383764706,119.1330372549,115.65,115.65,108.2986613725,130.9644705882,108.4429960784
F25,127.5298235294,186.1197295016,156.8479186982,178.7232870706,163.6245098039,132.7388149432,116.1259519608,183.6782268878,145.9906637255,186.1996431373,129.5115915686,145.16,139.08,126.0031660784,185.6211764706,175.070772549
F26,100.0194313725,100.3135290161,100.3318213755,100.1384124412,100.0688235294,100.0500470972,100.0322684314,100.1366208786,100.3963515686,100.1207333333,100.1291329412,100.05,100.05,100.0139566667,100.3284313725,100.0364431373
F27,41.1315619412,173.6789334136,135.3908255941,321.2754026223,89.6869254902,58.0639304539,17.2018758871,280.7775666254,7.4229167667,255.937044,91.2492027586,200,200,25.4770006529,158.9574666667,184.7795707255
F28,280.3234117647,508.0455345964,435.8938274279,347.1652141922,383.2115686275,380.8104889196,361.0548221569,477.1473825918,306.6714884314,423.3538352941,386.903485098,200,200,312.918867451,420.1244313726,388.7167823529
F29,200,367.5578229019,83243.1384431187,211.7372774549,222.3229411765,221.986656904,181.4021401961,413.2909873614,219.9634837255,355435.020268627,212.6059123529,200,200,195.4616472549,16758.5769607843,227.0654
F30,216.4126078431,1390.6776399154,2917.5339409307,394.2959329157,467.1992156863,464.8828114285,491.7452813725,1727.537695243,389.1651615686,637.9675823529,505.247932549,200,200,233.8866766667,1320.6554509804,585.1142647059
